time,delta_theta_avg
3.312200000000e0,7.099796061814e-4
3.312300000000e0,7.101570586749e-4
3.312400000000e0,7.103340158753e-4
3.312500000000e0,7.105104776078e-4
3.312600000000e0,7.106864437033e-4
3.312700000000e0,7.108619139929e-4
3.312800000000e0,7.110368883108e-4
3.312900000000e0,7.112113664970e-4
3.313000000000e0,7.113853483913e-4
3.313100000000e0,7.115588338376e-4
3.313200000000e0,7.117318226819e-4
3.313300000000e0,7.119043147754e-4
3.313400000000e0,7.120763099707e-4
3.313500000000e0,7.122478081226e-4
3.313600000000e0,7.124188090905e-4
3.313700000000e0,7.125893127367e-4
3.313800000000e0,7.127593189242e-4
3.313900000000e0,7.129288275223e-4
3.314000000000e0,7.130978384001e-4
3.314100000000e0,7.132663514319e-4
3.314200000000e0,7.134343664945e-4
3.314300000000e0,7.136018834663e-4
3.314400000000e0,7.137689022302e-4
3.314500000000e0,7.139354226726e-4
3.314600000000e0,7.141014446811e-4
3.314700000000e0,7.142669681465e-4
3.314800000000e0,7.144319929643e-4
3.314900000000e0,7.145965190308e-4
3.315000000000e0,7.147605462477e-4
3.315100000000e0,7.149240745172e-4
3.315200000000e0,7.150871037451e-4
3.315300000000e0,7.152496338410e-4
3.315400000000e0,7.154116647178e-4
3.315500000000e0,7.155731962915e-4
3.315600000000e0,7.157342284781e-4
3.315700000000e0,7.158947612004e-4
3.315800000000e0,7.160547943825e-4
3.315900000000e0,7.162143279503e-4
3.316000000000e0,7.163733618352e-4
3.316100000000e0,7.165318959708e-4
3.316200000000e0,7.166899302922e-4
3.316300000000e0,7.168474647397e-4
3.316400000000e0,7.170044992549e-4
3.316500000000e0,7.171610337824e-4
3.316600000000e0,7.173170682699e-4
3.316700000000e0,7.174726026706e-4
3.316800000000e0,7.176276369373e-4
3.316900000000e0,7.177821710286e-4
3.317000000000e0,7.179362049025e-4
3.317100000000e0,7.180897385229e-4
3.317200000000e0,7.182427718566e-4
3.317300000000e0,7.183953048722e-4
3.317400000000e0,7.185473375423e-4
3.317500000000e0,7.186988698407e-4
3.317600000000e0,7.188499017475e-4
3.317700000000e0,7.190004332433e-4
3.317800000000e0,7.191504643110e-4
3.317900000000e0,7.192999949396e-4
3.318000000000e0,7.194490251182e-4
3.318100000000e0,7.195975548407e-4
3.318200000000e0,7.197455841024e-4
3.318300000000e0,7.198931129024e-4
3.318400000000e0,7.200401412439e-4
3.318500000000e0,7.201866691318e-4
3.318600000000e0,7.203326965736e-4
3.318700000000e0,7.204782235807e-4
3.318800000000e0,7.206232501673e-4
3.318900000000e0,7.207677763511e-4
3.319000000000e0,7.209118021510e-4
3.319100000000e0,7.210553275922e-4
3.319200000000e0,7.211983526993e-4
3.319300000000e0,7.213408775020e-4
3.319400000000e0,7.214829020327e-4
3.319500000000e0,7.216244263264e-4
3.319600000000e0,7.217654504212e-4
3.319700000000e0,7.219059743581e-4
3.319800000000e0,7.220459981826e-4
3.319900000000e0,7.221855219406e-4
3.320000000000e0,7.223245456827e-4
3.320100000000e0,7.224630694624e-4
3.320200000000e0,7.226010933348e-4
3.320300000000e0,7.227386173603e-4
3.320400000000e0,7.228756416002e-4
3.320500000000e0,7.230121661196e-4
3.320600000000e0,7.231481909876e-4
3.320700000000e0,7.232837162741e-4
3.320800000000e0,7.234187420538e-4
3.320900000000e0,7.235532684040e-4
3.321000000000e0,7.236872954050e-4
3.321100000000e0,7.238208231390e-4
3.321200000000e0,7.239538516935e-4
3.321300000000e0,7.240863811565e-4
3.321400000000e0,7.242184116201e-4
3.321500000000e0,7.243499431805e-4
3.321600000000e0,7.244809759351e-4
3.321700000000e0,7.246115099849e-4
3.321800000000e0,7.247415454339e-4
3.321900000000e0,7.248710823889e-4
3.322000000000e0,7.250001209599e-4
3.322100000000e0,7.251286612603e-4
3.322200000000e0,7.252567034056e-4
3.322300000000e0,7.253842475145e-4
3.322400000000e0,7.255112937085e-4
3.322500000000e0,7.256378421147e-4
3.322600000000e0,7.257638928587e-4
3.322700000000e0,7.258894460718e-4
3.322800000000e0,7.260145018874e-4
3.322900000000e0,7.261390604435e-4
3.323000000000e0,7.262631218789e-4
3.323100000000e0,7.263866863362e-4
3.323200000000e0,7.265097539612e-4
3.323300000000e0,7.266323249024e-4
3.323400000000e0,7.267543993112e-4
3.323500000000e0,7.268759773421e-4
